quote_date,expiration,strike,option_type,bid,ask,last
2020-01-13,2020-02-12,3455.0,call,22.1328,22.5799,22.3564
2020-01-13,2020-02-12,3615.0,call,4.4294,4.5189,4.4741
2020-01-14,2020-02-13,2955.0,call,334.1217,340.8717,337.4967
2020-01-14,2020-02-13,3120.0,call,186.2818,190.0451,188.1634
2020-01-14,2020-02-13,3285.0,call,77.3706,78.9336,78.1521
2020-01-14,2020-02-13,3445.0,call,23.0467,23.5123,23.2795
2020-01-14,2020-02-13,3610.0,call,4.399,4.4879,4.4435
2020-01-15,2020-02-14,2960.0,call,335.2498,342.0225,338.6361
2020-01-15,2020-02-14,3125.0,call,187.3042,191.0881,189.1962
2020-01-15,2020-02-14,3290.0,call,78.0833,79.6607,78.872
2020-01-15,2020-02-14,3455.0,call,22.3798,22.8319,22.6059
2020-01-15,2020-02-14,3620.0,call,4.2483,4.3341,4.2912
2020-01-16,2020-02-15,2985.0,call,337.8299,344.6548,341.2424
2020-01-16,2020-02-15,3150.0,call,189.7977,193.632,191.7148
2020-01-16,2020-02-15,3315.0,call,80.0009,81.6171,80.809
2020-01-16,2020-02-15,3485.0,call,22.3523,22.8039,22.5781
2020-01-16,2020-02-15,3650.0,call,4.2976,4.3845,4.3411
2020-01-17,2020-02-16,2995.0,call,340.5965,347.4772,344.0368
2020-01-17,2020-02-16,3165.0,call,188.2419,192.0448,190.1433
2020-01-17,2020-02-16,3330.0,call,79.2094,80.8096,80.0095
2020-01-17,2020-02-16,3495.0,call,23.1235,23.5907,23.3571
2020-01-17,2020-02-16,3665.0,call,4.2708,4.3571,4.314
2020-01-21,2020-02-20,2990.0,call,336.8799,343.6856,340.2828
2020-01-21,2020-02-20,3155.0,call,189.0387,192.8576,190.9482
2020-01-21,2020-02-20,3320.0,call,79.5837,81.1914,80.3876
2020-01-21,2020-02-20,3485.0,call,23.2091,23.678,23.4436
2020-01-21,2020-02-20,3655.0,call,4.2729,4.3593,4.3161
2020-01-22,2020-02-21,2990.0,call,337.8033,344.6276,341.2155
2020-01-22,2020-02-21,3155.0,call,189.8307,193.6657,191.7482
2020-01-22,2020-02-21,3320.0,call,80.0886,81.7065,80.8975
2020-01-22,2020-02-21,3490.0,call,22.4229,22.8759,22.6494
2020-01-22,2020-02-21,3655.0,call,4.3252,4.4125,4.3688
2020-01-23,2020-02-22,2995.0,call,336.671,343.4724,340.0717
2020-01-23,2020-02-22,3160.0,call,188.9157,192.7322,190.8239
2020-01-23,2020-02-22,3325.0,call,79.5718,81.1793,80.3755
2020-01-23,2020-02-22,3490.0,call,23.2393,23.7088,23.474
2020-01-23,2020-02-22,3660.0,call,4.29,4.3767,4.3333
2020-01-24,2020-02-23,2965.0,call,336.4164,343.2127,339.8145
2020-01-24,2020-02-23,3130.0,call,188.3606,192.1659,190.2633
2020-01-24,2020-02-23,3295.0,call,78.8197,80.412,79.6158
2020-01-24,2020-02-23,3460.0,call,22.7173,23.1763,22.9468
2020-01-24,2020-02-23,3625.0,call,4.3438,4.4315,4.3876
2020-01-27,2020-02-26,2920.0,call,329.555,336.2127,332.8839
2020-01-27,2020-02-26,3080.0,call,186.0154,189.7733,187.8944
2020-01-27,2020-02-26,3245.0,call,76.6663,78.2151,77.4407
2020-01-27,2020-02-26,3405.0,call,22.4741,22.9281,22.7011
2020-01-27,2020-02-26,3570.0,call,4.1772,4.2616,4.2194
2020-01-28,2020-02-27,2950.0,call,332.2532,338.9654,335.6093
2020-01-28,2020-02-27,3110.0,call,188.6681,192.4796,190.5739
2020-01-28,2020-02-27,3275.0,call,78.747,80.3379,79.5425
2020-01-28,2020-02-27,3440.0,call,22.5469,23.0024,22.7747
2020-01-28,2020-02-27,3605.0,call,4.2622,4.3483,4.3053
2020-01-29,2020-02-28,2945.0,call,334.3003,341.0539,337.6771
2020-01-29,2020-02-28,3110.0,call,186.3215,190.0856,188.2036
2020-01-29,2020-02-28,3275.0,call,77.262,78.8229,78.0424
2020-01-29,2020-02-28,3435.0,call,22.9317,23.3949,23.1633
2020-01-29,2020-02-28,3600.0,call,4.3502,4.4381,4.3942
2020-01-30,2020-02-29,2955.0,call,334.6125,341.3723,337.9924
2020-01-30,2020-02-29,3120.0,call,186.7019,190.4736,188.5878
2020-01-30,2020-02-29,3285.0,call,77.6357,79.2041,78.4199
2020-01-30,2020-02-29,3450.0,call,22.162,22.6097,22.3859
2020-01-30,2020-02-29,3610.0,call,4.4277,4.5171,4.4724
2020-01-31,2020-03-01,2905.0,call,326.4701,333.0655,329.7678
2020-01-31,2020-03-01,3065.0,call,183.2006,186.9016,185.0511
2020-01-31,2020-03-01,3225.0,call,77.1766,78.7358,77.9562
2020-01-31,2020-03-01,3385.0,call,22.5471,23.0026,22.7749
2020-01-31,2020-03-01,3550.0,call,4.1572,4.2412,4.1992
2020-02-03,2020-03-04,2925.0,call,329.8653,336.5292,333.1972
2020-02-03,2020-03-04,3085.0,call,186.3375,190.1019,188.2197
2020-02-03,2020-03-04,3250.0,call,76.9365,78.4908,77.7137
2020-02-03,2020-03-04,3410.0,call,22.6216,23.0786,22.8501
2020-02-03,2020-03-04,3575.0,call,4.2237,4.309,4.2664
2020-02-04,2020-03-05,2970.0,call,333.6772,340.4181,337.0476
2020-02-04,2020-03-05,3135.0,call,186.0716,189.8307,187.9511
2020-02-04,2020-03-05,3300.0,call,77.4377,79.0021,78.2199
2020-02-04,2020-03-05,3460.0,call,23.1787,23.647,23.4129
2020-02-04,2020-03-05,3625.0,call,4.4622,4.5523,4.5073
2020-02-05,2020-03-06,3000.0,call,340.6947,347.5774,344.136
2020-02-05,2020-03-06,3170.0,call,188.383,192.1887,190.2859
2020-02-05,2020-03-06,3335.0,call,79.3652,80.9686,80.1669
2020-02-05,2020-03-06,3500.0,call,23.2233,23.6925,23.4579
2020-02-05,2020-03-06,3670.0,call,4.3052,4.3922,4.3487
2020-02-06,2020-03-07,3010.0,call,341.8056,348.7108,345.2582
2020-02-06,2020-03-07,3180.0,call,189.4464,193.2736,191.36
2020-02-06,2020-03-07,3345.0,call,80.1746,81.7943,80.9844
2020-02-06,2020-03-07,3515.0,call,22.6336,23.0908,22.8622
2020-02-06,2020-03-07,3680.0,call,4.4268,4.5162,4.4715
2020-02-07,2020-03-08,2995.0,call,338.7581,345.6017,342.1799
2020-02-07,2020-03-08,3160.0,call,190.7063,194.559,192.6327
2020-02-07,2020-03-08,3330.0,call,78.2152,79.7953,79.0053
2020-02-07,2020-03-08,3495.0,call,22.7114,23.1702,22.9408
2020-02-07,2020-03-08,3660.0,call,4.409,4.4981,4.4536
2020-02-10,2020-03-11,3015.0,call,343.0976,350.0289,346.5633
2020-02-10,2020-03-11,3185.0,call,190.6083,194.459,192.5337
2020-02-10,2020-03-11,3350.0,call,80.9832,82.6192,81.8012
2020-02-10,2020-03-11,3520.0,call,22.9977,23.4623,23.23
2020-02-10,2020-03-11,3685.0,call,4.5315,4.623,4.5773
2020-02-11,2020-03-12,3020.0,call,343.7638,350.7086,347.2362
2020-02-11,2020-03-12,3190.0,call,191.2354,195.0987,193.1671
2020-02-11,2020-03-12,3360.0,call,78.9513,80.5463,79.7488
2020-02-11,2020-03-12,3525.0,call,23.2243,23.6935,23.4589
2020-02-11,2020-03-12,3695.0,call,4.3532,4.4412,4.3972
2020-02-12,2020-03-13,3040.0,call,345.5236,352.5039,349.0138
2020-02-12,2020-03-13,3210.0,call,192.9692,196.8676,194.9184
2020-02-12,2020-03-13,3380.0,call,80.3129,81.9354,81.1242
2020-02-12,2020-03-13,3550.0,call,22.9346,23.3979,23.1663
2020-02-12,2020-03-13,3715.0,call,4.5723,4.6647,4.6185
2020-02-13,2020-03-14,3035.0,call,345.0018,351.9716,348.4867
2020-02-13,2020-03-14,3205.0,call,192.4655,196.3537,194.4096
2020-02-13,2020-03-14,3375.0,call,79.9277,81.5424,80.735
2020-02-13,2020-03-14,3545.0,call,22.7426,23.2021,22.9724
2020-02-13,2020-03-14,3710.0,call,4.5121,4.6033,4.5577
2020-02-14,2020-03-15,3040.0,call,346.2073,353.2013,349.7043
2020-02-14,2020-03-15,3210.0,call,193.5556,197.4658,195.5107
2020-02-14,2020-03-15,3380.0,call,80.6842,82.3142,81.4992
2020-02-14,2020-03-15,3550.0,call,23.0865,23.5529,23.3197
2020-02-14,2020-03-15,3720.0,call,4.3659,4.4541,4.41
2020-02-18,2020-03-19,3035.0,call,341.4899,348.3887,344.9393
2020-02-18,2020-03-19,3200.0,call,193.4983,197.4074,195.4528
2020-02-18,2020-03-19,3370.0,call,80.5138,82.1403,81.3271
2020-02-18,2020-03-19,3540.0,call,22.9468,23.4104,23.1786
2020-02-18,2020-03-19,3705.0,call,4.5565,4.6485,4.6025
2020-02-19,2020-03-20,3050.0,call,342.4113,349.3287,345.87
2020-02-19,2020-03-20,3215.0,call,194.4564,198.3848,196.4206
2020-02-19,2020-03-20,3385.0,call,81.3228,82.9657,82.1442
2020-02-19,2020-03-20,3555.0,call,23.3837,23.8561,23.6199
2020-02-19,2020-03-20,3725.0,call,4.4509,4.5408,4.4959
2020-02-20,2020-03-21,3035.0,call,344.3184,351.2743,347.7963
2020-02-20,2020-03-21,3205.0,call,191.88,195.7564,193.8182
2020-02-20,2020-03-21,3375.0,call,79.5582,81.1654,80.3618
2020-02-20,2020-03-21,3540.0,call,23.5823,24.0587,23.8205
2020-02-20,2020-03-21,3710.0,call,4.4726,4.5629,4.5178
2020-02-21,2020-03-22,3005.0,call,338.859,345.7046,342.2818
2020-02-21,2020-03-22,3170.0,call,190.9044,194.761,192.8327
2020-02-21,2020-03-22,3340.0,call,78.4744,80.0598,79.2671
2020-02-21,2020-03-22,3505.0,call,22.8877,23.3501,23.1189
2020-02-21,2020-03-22,3670.0,call,4.4739,4.5643,4.5191
2020-02-24,2020-03-25,2905.0,call,326.8258,333.4284,330.1271
2020-02-24,2020-03-25,3065.0,call,183.5055,187.2126,185.3591
2020-02-24,2020-03-25,3225.0,call,77.3708,78.9339,78.1523
2020-02-24,2020-03-25,3385.0,call,22.628,23.0851,22.8566
2020-02-24,2020-03-25,3550.0,call,4.1773,4.2616,4.2195
2020-02-25,2020-03-26,2815.0,call,318.8759,325.3178,322.0969
2020-02-25,2020-03-26,2970.0,call,179.7226,183.3534,181.538
2020-02-25,2020-03-26,3130.0,call,73.7057,75.1947,74.4502
2020-02-25,2020-03-26,3285.0,call,21.443,21.8762,21.6596
2020-02-25,2020-03-26,3440.0,call,4.1733,4.2576,4.2155
2020-02-26,2020-03-27,2805.0,call,317.0625,323.4678,320.2651
2020-02-26,2020-03-27,2960.0,call,178.0536,181.6506,179.8521
2020-02-26,2020-03-27,3115.0,call,75.0106,76.526,75.7683
2020-02-26,2020-03-27,3270.0,call,21.8799,22.322,22.101
2020-02-26,2020-03-27,3430.0,call,4.0113,4.0924,4.0518
2020-02-27,2020-03-28,2680.0,call,304.1328,310.2768,307.2048
2020-02-27,2020-03-28,2830.0,call,169.6053,173.0317,171.3185
2020-02-27,2020-03-28,2980.0,call,70.4148,71.8374,71.1261
2020-02-27,2020-03-28,3130.0,call,20.0367,20.4415,20.2391
2020-02-27,2020-03-28,3275.0,call,4.0065,4.0874,4.0469
2020-02-28,2020-03-29,2660.0,call,299.6401,305.6935,302.6668
2020-02-28,2020-03-29,2805.0,call,169.5721,172.9978,171.285
2020-02-28,2020-03-29,2955.0,call,70.0583,71.4736,70.766
2020-02-28,2020-03-29,3100.0,call,20.7083,21.1267,20.9175
2020-02-28,2020-03-29,3250.0,call,3.8757,3.954,3.9148
2020-03-02,2020-04-01,2780.0,call,315.7912,322.1708,318.981
2020-03-02,2020-04-01,2935.0,call,176.6826,180.2519,178.4672
2020-03-02,2020-04-01,3090.0,call,73.8054,75.2964,74.5509
2020-03-02,2020-04-01,3245.0,call,21.2057,21.6341,21.4199
2020-03-02,2020-04-01,3400.0,call,4.036,4.1175,4.0768
2020-03-03,2020-04-02,2705.0,call,303.9137,310.0533,306.9835
2020-03-03,2020-04-02,2855.0,call,169.7006,173.1289,171.4148
2020-03-03,2020-04-02,3005.0,call,70.8082,72.2386,71.5234
2020-03-03,2020-04-02,3155.0,call,20.3706,20.7822,20.5764
2020-03-03,2020-04-02,3305.0,call,3.8951,3.9737,3.9344
2020-03-04,2020-04-03,2815.0,call,320.7146,327.1937,323.9542
2020-03-04,2020-04-03,2975.0,call,177.256,180.8369,179.0464
2020-03-04,2020-04-03,3130.0,call,74.7017,76.2108,75.4562
2020-03-04,2020-04-03,3285.0,call,21.8567,22.2983,22.0775
2020-03-04,2020-04-03,3445.0,call,4.0344,4.1159,4.0751
2020-03-05,2020-04-04,2720.0,call,309.366,315.6159,312.491
2020-03-05,2020-04-04,2875.0,call,170.5038,173.9483,172.226
2020-03-05,2020-04-04,3025.0,call,71.5816,73.0277,72.3047
2020-03-05,2020-04-04,3175.0,call,20.8283,21.2491,21.0387
2020-03-05,2020-04-04,3325.0,call,4.0509,4.1328,4.0919
2020-03-06,2020-04-05,2675.0,call,302.764,308.8805,305.8222
2020-03-06,2020-04-05,2825.0,call,168.3772,171.7788,170.078
2020-03-06,2020-04-05,2970.0,call,72.0701,73.5261,72.7981
2020-03-06,2020-04-05,3120.0,call,20.6436,21.0607,20.8522
2020-03-06,2020-04-05,3270.0,call,3.8979,3.9767,3.9373
2020-03-09,2020-04-08,2470.0,call,281.4667,287.1529,284.3098
2020-03-09,2020-04-08,2610.0,call,155.8967,159.0462,157.4714
2020-03-09,2020-04-08,2745.0,call,66.2774,67.6163,66.9469
2020-03-09,2020-04-08,2885.0,call,18.673,19.0502,18.8616
2020-03-09,2020-04-08,3020.0,call,3.6796,3.7539,3.7167
2020-03-10,2020-04-09,2595.0,call,292.5101,298.4194,295.4647
2020-03-10,2020-04-09,2740.0,call,162.7306,166.0181,164.3743
2020-03-10,2020-04-09,2880.0,call,69.8501,71.2612,70.5557
2020-03-10,2020-04-09,3025.0,call,20.0944,20.5004,20.2974
2020-03-10,2020-04-09,3170.0,call,3.8206,3.8978,3.8592
2020-03-11,2020-04-10,2465.0,call,281.2628,286.9449,284.1038
2020-03-11,2020-04-10,2605.0,call,155.6653,158.81,157.2377
2020-03-11,2020-04-10,2740.0,call,66.0633,67.3979,66.7306
2020-03-11,2020-04-10,2880.0,call,18.551,18.9258,18.7384
2020-03-11,2020-04-10,3015.0,call,3.6382,3.7117,3.6749
2020-03-12,2020-04-11,2235.0,call,250.2549,255.3105,252.7827
2020-03-12,2020-04-11,2355.0,call,142.6651,145.5472,144.1062
2020-03-12,2020-04-11,2480.0,call,59.4742,60.6757,60.075
2020-03-12,2020-04-11,2605.0,call,16.9987,17.3421,17.1704
2020-03-12,2020-04-11,2730.0,call,3.2061,3.2709,3.2385
2020-03-13,2020-04-12,2440.0,call,275.9487,281.5234,278.7361
2020-03-13,2020-04-12,2575.0,call,154.8708,157.9996,156.4352
2020-03-13,2020-04-12,2710.0,call,65.1585,66.4748,65.8166
2020-03-13,2020-04-12,2845.0,call,18.963,19.3461,19.1546
2020-03-13,2020-04-12,2980.0,call,3.6781,3.7524,3.7152
2020-03-16,2020-04-15,2150.0,call,240.5759,245.4361,243.006
2020-03-16,2020-04-15,2265.0,call,137.4543,140.2312,138.8428
2020-03-16,2020-04-15,2385.0,call,57.4665,58.6275,58.047
2020-03-16,2020-04-15,2505.0,call,16.5007,16.834,16.6674
2020-03-16,2020-04-15,2625.0,call,3.132,3.1953,3.1636
2020-03-17,2020-04-16,2275.0,call,258.7292,263.9561,261.3427
2020-03-17,2020-04-16,2405.0,call,142.3004,145.1752,143.7378
2020-03-17,2020-04-16,2530.0,call,59.9081,61.1184,60.5133
2020-03-17,2020-04-16,2655.0,call,17.5273,17.8814,17.7044
2020-03-17,2020-04-16,2780.0,call,3.4379,3.5073,3.4726
2020-03-18,2020-04-17,2160.0,call,242.5327,247.4324,244.9825
2020-03-18,2020-04-17,2280.0,call,135.2038,137.9352,136.5695
2020-03-18,2020-04-17,2400.0,call,56.242,57.3782,56.8101
2020-03-18,2020-04-17,2520.0,call,16.1032,16.4285,16.2659
2020-03-18,2020-04-17,2640.0,call,3.0594,3.1212,3.0903
2020-03-19,2020-04-18,2170.0,call,243.836,248.762,246.299
2020-03-19,2020-04-18,2290.0,call,136.4315,139.1877,137.8096
2020-03-19,2020-04-18,2410.0,call,57.1509,58.3054,57.7282
2020-03-19,2020-04-18,2530.0,call,16.5458,16.88,16.7129
2020-03-19,2020-04-18,2650.0,call,3.1914,3.2558,3.2236
2020-03-20,2020-04-19,2075.0,call,234.1326,238.8626,236.4976
2020-03-20,2020-04-19,2190.0,call,131.086,133.7342,132.4101
2020-03-20,2020-04-19,2305.0,call,54.9238,56.0334,55.4786
2020-03-20,2020-04-19,2420.0,call,15.8881,16.2091,16.0486
2020-03-20,2020-04-19,2535.0,call,3.0578,3.1196,3.0887
2020-03-23,2020-04-22,2015.0,call,226.5242,231.1004,228.8123
2020-03-23,2020-04-22,2125.0,call,127.9303,130.5147,129.2225
2020-03-23,2020-04-22,2235.0,call,54.5611,55.6634,55.1123
2020-03-23,2020-04-22,2350.0,call,15.246,15.554,15.4
2020-03-23,2020-04-22,2460.0,call,3.0049,3.0656,3.0352
2020-03-24,2020-04-23,2205.0,call,246.8834,251.871,249.3772
2020-03-24,2020-04-23,2325.0,call,139.4353,142.2522,140.8438
2020-03-24,2020-04-23,2445.0,call,59.531,60.7337,60.1323
2020-03-24,2020-04-23,2570.0,call,16.7744,17.1133,16.9439
2020-03-24,2020-04-23,2690.0,call,3.3277,3.3949,3.3613
2020-03-25,2020-04-24,2230.0,call,250.1463,255.1998,252.673
2020-03-25,2020-04-24,2350.0,call,142.5168,145.396,143.9564
2020-03-25,2020-04-24,2475.0,call,59.313,60.5113,59.9121
2020-03-25,2020-04-24,2600.0,call,16.8977,17.239,17.0683
2020-03-25,2020-04-24,2725.0,call,3.1712,3.2353,3.2033
2020-03-26,2020-04-25,2365.0,call,269.7583,275.208,272.4831
2020-03-26,2020-04-25,2500.0,call,148.7219,151.7263,150.2241
2020-03-26,2020-04-25,2630.0,call,62.7524,64.0201,63.3862
2020-03-26,2020-04-25,2760.0,call,18.4068,18.7786,18.5927
2020-03-26,2020-04-25,2895.0,call,3.3729,3.441,3.407
2020-03-27,2020-04-26,2285.0,call,260.9863,266.2587,263.6225
2020-03-27,2020-04-26,2415.0,call,144.3421,147.2581,145.8001
2020-03-27,2020-04-26,2540.0,call,61.3417,62.5809,61.9613
2020-03-27,2020-04-26,2670.0,call,17.1946,17.542,17.3683
2020-03-27,2020-04-26,2795.0,call,3.3796,3.4479,3.4138
2020-03-30,2020-04-29,2365.0,call,266.4668,271.8499,269.1583
2020-03-30,2020-04-29,2495.0,call,149.9403,152.9694,151.4549
2020-03-30,2020-04-29,2625.0,call,63.4635,64.7455,64.1045
2020-03-30,2020-04-29,2760.0,call,17.6706,18.0276,17.8491
2020-03-30,2020-04-29,2890.0,call,3.4281,3.4973,3.4627
2020-03-31,2020-04-30,2325.0,call,264.236,269.5741,266.905
2020-03-31,2020-04-30,2455.0,call,147.5783,150.5597,149.069
2020-03-31,2020-04-30,2585.0,call,61.4283,62.6693,62.0488
2020-03-31,2020-04-30,2715.0,call,17.5454,17.8999,17.7226
2020-03-31,2020-04-30,2845.0,call,3.3117,3.3786,3.3451
2020-04-01,2020-05-01,2225.0,call,250.057,255.1087,252.5829
2020-04-01,2020-05-01,2345.0,call,142.3852,145.2616,143.8234
2020-04-01,2020-05-01,2470.0,call,59.1623,60.3575,59.7599
2020-04-01,2020-05-01,2595.0,call,16.8011,17.1405,16.9708
2020-04-01,2020-05-01,2720.0,call,3.1376,3.201,3.1693
2020-04-02,2020-05-02,2275.0,call,256.5255,261.7079,259.1167
2020-04-02,2020-05-02,2400.0,call,144.4481,147.3662,145.9072
2020-04-02,2020-05-02,2525.0,call,61.211,62.4476,61.8293
2020-04-02,2020-05-02,2655.0,call,17.0359,17.3801,17.208
2020-04-02,2020-05-02,2780.0,call,3.31,3.3769,3.3435
2020-04-03,2020-05-03,2240.0,call,253.1806,258.2953,255.738
2020-04-03,2020-05-03,2365.0,call,141.1877,144.04,142.6138
2020-04-03,2020-05-03,2490.0,call,58.6733,59.8587,59.266
2020-04-03,2020-05-03,2615.0,call,16.7411,17.0793,16.9102
2020-04-03,2020-05-03,2740.0,call,3.1598,3.2237,3.1918
2020-04-06,2020-05-06,2395.0,call,273.4187,278.9423,276.1805
2020-04-06,2020-05-06,2530.0,call,152.195,155.2696,153.7323
2020-04-06,2020-05-06,2665.0,call,62.8619,64.1318,63.4968
2020-04-06,2020-05-06,2795.0,call,18.6965,19.0743,18.8854
2020-04-06,2020-05-06,2930.0,call,3.5127,3.5836,3.5482
2020-04-07,2020-05-07,2395.0,call,269.3093,274.7499,272.0296
2020-04-07,2020-05-07,2525.0,call,152.7158,155.801,154.2584
2020-04-07,2020-05-07,2660.0,call,63.1228,64.398,63.7604
2020-04-07,2020-05-07,2790.0,call,18.7718,19.151,18.9614
2020-04-07,2020-05-07,2925.0,call,3.5219,3.5931,3.5575
2020-04-08,2020-05-08,2475.0,call,279.9767,285.6327,282.8047
2020-04-08,2020-05-08,2610.0,call,158.7223,161.9288,160.3255
2020-04-08,2020-05-08,2750.0,call,65.5668,66.8914,66.2291
2020-04-08,2020-05-08,2885.0,call,19.4146,19.8068,19.6107
2020-04-08,2020-05-08,3025.0,call,3.623,3.6962,3.6596
2020-04-09,2020-05-09,2510.0,call,284.8515,290.6061,287.7288
2020-04-09,2020-05-09,2650.0,call,159.2481,162.4653,160.8567
2020-04-09,2020-05-09,2790.0,call,66.437,67.7791,67.1081
2020-04-09,2020-05-09,2930.0,call,19.054,19.4389,19.2465
2020-04-09,2020-05-09,3070.0,call,3.6183,3.6914,3.6548
2020-04-13,2020-05-13,2485.0,call,281.6265,287.3159,284.4712
2020-04-13,2020-05-13,2625.0,call,156.2044,159.3601,157.7822
2020-04-13,2020-05-13,2760.0,call,66.672,68.0189,67.3454
2020-04-13,2020-05-13,2900.0,call,18.9394,19.322,19.1307
2020-04-13,2020-05-13,3040.0,call,3.5326,3.604,3.5683
2020-04-14,2020-05-14,2560.0,call,291.1669,297.0491,294.108
2020-04-14,2020-05-14,2705.0,call,161.1838,164.44,162.8119
2020-04-14,2020-05-14,2845.0,call,68.3987,69.7805,69.0896
2020-04-14,2020-05-14,2990.0,call,19.2542,19.6431,19.4486
2020-04-14,2020-05-14,3130.0,call,3.7834,3.8599,3.8217
2020-04-15,2020-05-15,2505.0,call,283.4154,289.141,286.2782
2020-04-15,2020-05-15,2645.0,call,157.9615,161.1527,159.5571
2020-04-15,2020-05-15,2785.0,call,65.557,66.8814,66.2192
2020-04-15,2020-05-15,2925.0,call,18.6597,19.0367,18.8482
2020-04-15,2020-05-15,3060.0,call,3.752,3.8278,3.7899
2020-04-16,2020-05-16,2520.0,call,284.6538,290.4044,287.5291
2020-04-16,2020-05-16,2660.0,call,159.1913,162.4073,160.7993
2020-04-16,2020-05-16,2800.0,call,66.5344,67.8785,67.2064
2020-04-16,2020-05-16,2940.0,call,19.1638,19.5509,19.3574
2020-04-16,2020-05-16,3080.0,call,3.6652,3.7392,3.7022
2020-04-17,2020-05-17,2585.0,call,294.6906,300.644,297.6673
2020-04-17,2020-05-17,2730.0,call,164.4842,167.8071,166.1456
2020-04-17,2020-05-17,2875.0,call,68.3281,69.7084,69.0182
2020-04-17,2020-05-17,3020.0,call,19.4355,19.8281,19.6318
2020-04-17,2020-05-17,3160.0,call,3.8882,3.9667,3.9275
2020-04-20,2020-05-20,2540.0,call,288.2518,294.0751,291.1635
2020-04-20,2020-05-20,2680.0,call,162.5035,165.7864,164.1449
2020-04-20,2020-05-20,2825.0,call,66.407,67.7486,67.0778
2020-04-20,2020-05-20,2965.0,call,19.2847,19.6743,19.4795
2020-04-20,2020-05-20,3105.0,call,3.7439,3.8195,3.7817
2020-04-21,2020-05-21,2465.0,call,276.6249,282.2132,279.419
2020-04-21,2020-05-21,2600.0,call,155.7305,158.8766,157.3035
2020-04-21,2020-05-21,2735.0,call,66.0389,67.3731,66.706
2020-04-21,2020-05-21,2875.0,call,18.5059,18.8798,18.6928
2020-04-21,2020-05-21,3010.0,call,3.617,3.69,3.6535
2020-04-22,2020-05-22,2520.0,call,284.4229,290.1688,287.2959
2020-04-22,2020-05-22,2660.0,call,158.9935,162.2055,160.5995
2020-04-22,2020-05-22,2800.0,call,66.4091,67.7507,67.0799
2020-04-22,2020-05-22,2940.0,call,19.1123,19.4984,19.3053
2020-04-22,2020-05-22,3080.0,call,3.652,3.7258,3.6889
2020-04-23,2020-05-23,2520.0,call,282.9709,288.6874,285.8291
2020-04-23,2020-05-23,2660.0,call,157.7515,160.9384,159.345
2020-04-23,2020-05-23,2800.0,call,65.6243,66.9501,66.2872
2020-04-23,2020-05-23,2940.0,call,18.7906,19.1702,18.9804
2020-04-23,2020-05-23,3080.0,call,3.5701,3.6423,3.6062
